songTitle,artist,songCoverPixel,songCover,songSnippet,songFull,day,month
Shape of You,Ed Sheeran,static/images/songCoverPixel/shapeofyou.png,static/images/songCover/shapeofyou.png,static/audio/songSnippet/shapeofyou.mp3,static/audio/songFull/shapeofyou.mp3,1,2
Smells Like Teen Spirit,Nirvana,static/images/songCoverPixel/smellsliketeenspirit.jpg,static/images/songCover/smellsliketeenspirit.jpg,static/audio/songSnippet/smellsliketeenspirit.mp3,static/audio/songFull/smellsliketeenspirit.mp3,1,1
Blinding Lights,The Weeknd,static/images/songCoverPixel/blindinglights.jpg,static/images/songCover/blindinglights.jpg,static/audio/songSnippet/blindinglights.mp3,static/audio/songFull/blindinglights.mp3,3,3
Dance Monkey,Tones and I,static/images/songCoverPixel/dancemonkey.jpg,static/images/songCover/dancemonkey.jpg,static/audio/songSnippet/dancemonkey.mp3,static/audio/songFull/dancemonkey.mp3,2,2
Someone You Loved,Lewis Capaldi,static/images/songCoverPixel/someoneyouloved.png,static/images/songCover/someoneyouloved.png,static/audio/songSnippet/someoneyouloved.mp3,static/audio/songFull/someoneyouloved.mp3,3,1
Billie Jean,Michael Jackson,static/images/songCoverPixel/billiejean.jpg,static/images/songCover/billiejean.jpg,static/audio/songSnippet/billiejean.mp3,static/audio/songFull/billiejean.mp3,2,3
Rockstar,Post Malone ft 21 Savage,static/images/songCoverPixel/rockstar.jpg,static/images/songCover/rockstar.jpg,static/audio/songSnippet/rockstar.mp3,static/audio/songFull/rockstar.mp3,1,3
Bohemian Rhapsody,Queen,static/images/songCoverPixel/bohemianrhapsody.png,static/images/songCover/bohemianrhapsody.png,static/audio/songSnippet/bohemianrhapsody.mp3,static/audio/songFull/bohemianrhapsody.mp3,2,1
Sunflower,Post Malone ft Swae Lee,static/images/songCoverPixel/sunflower.jpg,static/images/songCover/sunflower.jpg,static/audio/songSnippet/sunflower.mp3,static/audio/songFull/sunflower.mp3,4,2
One Dance,Drake ft Wizkid,static/images/songCoverPixel/onedance.jpg,static/images/songCover/onedance.jpg,static/audio/songSnippet/onedance.mp3,static/audio/songFull/onedance.mp3,5,2
Like a Rolling Stone,Bob Dylan,static/images/songCoverPixel/likearollingstone.jpg,static/images/songCover/likearollingstone.jpg,static/audio/songSnippet/likearollingstone.mp3,static/audio/songFull/likearollingstone.mp3,6,1
Closer,The Chainsmoker ft Halsey,static/images/songCoverPixel/closer.png,static/images/songCover/closer.png,static/audio/songSnippet/closer.mp3,static/audio/songFull/closer.mp3,6,3
Believer,Imagine Dragons,static/images/songCoverPixel/believer.jpg,static/images/songCover/believer.jpg,static/audio/songSnippet/believer.mp3,static/audio/songFull/believer.mp3,3,2
Senorita,Shawn Mendes and Camila Cabello,static/images/songCoverPixel/senorita.png,static/images/songCover/senorita.png,static/audio/songSnippet/senorita.mp3,static/audio/songFull/senorita.mp3,4,3
Stay,Kid Laroi and Justin Bieber,static/images/songCoverPixel/stay.png,static/images/songCover/stay.png,static/audio/songSnippet/stay.mp3,static/audio/songFull/stay.mp3,5,3
Perfect,Ed Sheeran,static/images/songCoverPixel/perfect.jpg,static/images/songCover/perfect.jpg,static/audio/songSnippet/perfect.mp3,static/audio/songFull/perfect.mp3,18,12
Say You Wont Let Go,James Arthur,static/images/songCoverPixel/sayyouwontletgo.jpg,static/images/songCover/sayyouwontletgo.jpg,static/audio/songSnippet/sayyouwontletgo.mp3,static/audio/songFull/sayyouwontletgo.mp3,7,3
Bad Guy,Billie Eillish,static/images/songCoverPixel/badguy.png,static/images/songCover/badguy.png,static/audio/songSnippet/badguy.mp3,static/audio/songFull/badguy.mp3,6,2
Heat Waves,Glass Animals,static/images/songCoverPixel/heatwaves.png,static/images/songCover/heatwaves.png,static/audio/songSnippet/heatwaves.mp3,static/audio/songFull/heatwaves.mp3,5,1
